CITY,LAT,LON,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Nov-15,Nov-15,Jan-16,Feb-16,Apr-16,May-16,Jun-16,Aug-16,Sep-16,Nov-16,Dec-16,Jan-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,Apr-18,May-18,Jun-18,Jul-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Dec-19,Jan-20,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
Adana,36.98451447,35.33368253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5068,-5068,-5068,-5068,-11800,-18341,-18341,-18341,-43880,-47814,-64683,-74580,-81600,-83600,-86300,-86300,-86300,-86300,-86300,-86300,-86300,-86300,-86300,-86300,-129839,-135672,-144976,-150098,-150728,-149942,-149354,-149220,-149043,-148990,-149625,-150330,-153490,-157402,-160765,-165974,-165028,-164590,-167332,-171685,-177549,-188023,-192542,-193575,-196288,-202676,-214672,-219155,-220595,-223026,-226022,-227027,-228976,-232315,-234940,-235434,-238391,-235732,-237280,-240752,-240376,-238556,-238736,-240178,-241230,-242120,-243413,-243933,-244214,-245484,-246223,-246011,-245891,-247421,-248643,-248817,-249003,-250200,-251004,-252169
Adiyaman,37.76600916,38.27676222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-202,-480,-480,-480,-1530,-2316,-2316,-2316,-3167,-3167,-3167,-6239,-6239,-6982,-7627,-7627,-7627,-7627,-7627,-7627,-7627,-7627,-7627,-7627,-22960,-23043,-23701,-24242,-24351,-24127,-24011,-24077,-24181,-24338,-24972,-25631,-26043,-26378,-26589,-27113,-27220,-27285,-27585,-28160,-28620,-29613,-29522,-29443,-29454,-29688,-29592,-29611,-29633,-29613,-28891,-28128,-27815,-27465,-27100,-27088,-24745,-24476,-24477,-25188,-25549,-25987,-26012,-26041,-26004,-26025,-21016,-21280,-21348,-21531,-21700,-21751,-21793,-21883,-21974,-22021,-22095,-22149,-22144,-22228
Afyonkarahisar,38.75811822,30.53684764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2269,-2588,-2911,-3119,-3201,-3363,-3466,-3637,-3854,-4026,-4257,-4664,-4665,-4707,-4801,-5021,-5330,-5384,-5557,-5798,-5861,-5877,-5943,-5973,-6007,-3628,-3812,-3998,-4097,-4507,-4985,-5207,-5461,-5641,-5847,-5925,-6261,-6399,-6707,-7282,-7383,-7638,-7889,-8332,-8721,-8883,-9145,-9312,-9383,-9636,-9806,-9821,-9851,-10224,-10322,-10489,-10648,-10778,-10870,-11040
Agri,39.71944314,43.05036198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-753,-814,-845,-871,-826,-819,-815,-843,-867,-856,-861,-916,-945,-983,-990,-1059,-1083,-1097,-1082,-1083,-1121,-1137,-1136,-1128,-1126,-1150,-772,-814,-863,-921,-939,-963,-998,-1012,-1038,-1040,-1041,-1032,-1034,-1047,-1068,-1077,-1094,-1107,-1114,-1111,-1119,-1117,-1117,-1124,-1128,-1130,-1139,-1143,-1158,-1168,-1188,-1184,-1189,-1206
Aksaray,38.37134316,34.02709787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-503,-623,-768,-856,-956,-965,-1012,-1038,-1085,-1116,-1193,-1487,-1539,-1565,-1590,-1668,-1992,-2075,-2183,-2279,-2345,-2492,-2563,-2575,-2625,-2691,-1963,-2109,-2251,-2434,-2587,-2657,-2682,-2703,-2695,-2694,-2799,-2861,-2904,-2973,-2978,-3026,-3076,-3148,-3172,-3197,-3241,-3292,-3302,-3473,-3625,-3632,-3634,-3663,-3638,-3650,-3658,-3665,-3670,-3678
Amasya,40.65100329,35.83337503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60,-139,-147,-156,-166,-179,-183,-183,-196,-206,-221,-244,-250,-265,-287,-338,-546,-582,-585,-586,-565,-576,-570,-566,-577,-618,-465,-471,-495,-528,-579,-608,-655,-675,-685,-683,-679,-690,-696,-730,-731,-744,-742,-788,-794,-793,-806,-816,-823,-842,-856,-859,-865,-874,-890,-904,-924,-972,-996,-1003
Ankara,39.92979428,32.85291525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45926,-51428,-57055,-59265,-59701,-59475,-59502,-60803,-62608,-64042,-67965,-73117,-73838,-75010,-76732,-80764,-86750,-89761,-92482,-93793,-95339,-95344,-96169,-96454,-97719,-98731,-90103,-81403,-78165,-81312,-85608,-86211,-87340,-88373,-89324,-89490,-90911,-90829,-91422,-92947,-93120,-93565,-94069,-94816,-95213,-95624,-96011,-95993,-96124,-96036,-96459,-96541,-96634,-96989,-97513,-97741,-98213,-98794,-99203,-99706
Antalya,36.88908647,30.70400934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59,-94,-102,-141,-161,-192,-228,-258,-298,-323,-298,-401,-403,-406,-412,-461,-512,-523,-558,-563,-624,-648,-719,-770,-831,-1022,-968,-1022,-1079,-1150,-1262,-1281,-1389,-1502,-1586,-1592,-1650,-1672,-1714,-1783,-1786,-1812,-1816,-1863,-1910,-1940,-1976,-2000,-2004,-2101,-2204,-2235,-2263,-2354,-2412,-2448,-2503,-2542,-2592,-2729
Ardahan,41.11365646,42.7013905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33,-41,-41,-60,-52,-52,-52,-66,-67,-68,-76,-98,-100,-105,-113,-123,-130,-130,-146,-147,-151,-151,-153,-153,-159,-91,-106,-109,-115,-127,-134,-142,-145,-147,-144,-145,-137,-137,-135,-122,-122,-121,-123,-125,-121,-121,-118,-118,-118,-116,-118,-120,-120,-121,-116,-111,-111,-117,-117,-118
Artvin,41.18111974,41.82084914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42,-41,-41,-37,-42,-42,-41,-40,-40,-40,-40,-40,-40,-41,-43,-45,-47,-54,-60,-60,-67,-66,-61,-61,-60,-33,-36,-36,-37,-42,-42,-43,-40,-39,-39,-39,-40,-36,-35,-35,-35,-35,-34,-37,-37,-37,-37,-37,-37,-37,-37,-37,-37,-38,-38,-38,-38,-41,-41,-40
