CITY,"Karkamis, Gaziantep","Nizip, Gaziantep","Nizip 2, Gaziantep","Islahiye, Gaziantep","Islahiye 2, Gaziantep","Yayladagi, Hatay","Yayladagi Tekel, Hatay","Yayladagi Yibo, Hatay","Altinozu Tekel, Hatay","Altinozu Boynuyogun, Hatay","Apaydin, Hatay","Saricam, Adana","Oncupinar Camp, Kilis","Elbeyli Camp, Kilis",Kilis Transit Center,"Kahramanmaras Camp, Kahramanmaras","Suruc Camp, Sanliurfa","Akcakale Camp, Sanliurfa","Harran Kokenli Container City, Sanliurfa","Ceylanpinar Camp, Sanliurfa","Viransehir Camp, Sanliurfa","Adiyaman Camp, Adiyaman","Osmaniye Camp, Osmaniye","Derik Camp, Mardin","Nusaybin Camp, Mardin","Midyat Camp, Mardin","Malatya Camp, Malatya",,,,,,,,,,,,,,,
Mar-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Apr-11,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
May-11,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Jun-11,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Jul-11,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Aug-11,0,0,0,0,0,0,2498,2823,1379,1729,2779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Sep-11,0,0,0,0,0,0,2609,2964,1210,1734,3308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Oct-11,0,0,0,0,0,0,2706,3159,1211,1682,3444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Nov-11,0,0,0,0,0,0,2666,3343,1225,1982,3295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Dec-11,0,0,0,0,0,0,2750,3347,1427,1954,3419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Jan-12,0,0,0,0,0,0,2809,3395,1385,1960,4062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
